,ID,Major,International,Living_Arrange,Instruct_Difficulty,Motivation,Interaction_Students,Interaction_Instructor,Sentiment_Score,Joy_Count,Anger_Count,Pos_Count,Neg_Count
216,216,STEM,Yes,Outside US,Yes,Equally motivated,2,1,0,2,2,19,4
217,217,STEM,Yes,Outside US,Yes,Equally motivated,2,1,0,2,3,13,9
218,218,STEM,No,Outside US,Yes,Less motivated than before?,2,1,NA,0,0,0,0
219,219,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,0,1,0,11,3
220,220,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,6,0,16,12
221,221,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,1,3,2,3
222,222,STEM,No,In US but outside CA,Yes,More motivated,1,2,0,4,5,16,10
223,223,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,4,0,14,3
224,224,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,1,10,1
225,225,STEM,No,At home in californa,Yes,Equally motivated,2,2,0,0,0,2,2
226,226,STEM,No,At home in californa,No,Equally motivated,2,2,0,7,1,24,8
227,227,Non-STEM,Yes,In my apartment,No,Equally motivated,2,2,1,0,1,4,4
228,228,STEM,Yes,In my apartment,No,Equally motivated,1,2,1,0,1,3,2
229,229,Non-STEM,No,At home in californa,Yes,Equally motivated,2,1,0,9,3,19,7
230,230,STEM,No,In dorms,No,Less motivated than before?,2,2,0,0,3,5,9
231,231,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,0,0,1
232,232,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,0,3,1
233,233,Non-STEM,No,At home in californa,No,Equally motivated,2,1,0,0,1,7,3
234,234,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,5,2,14,10
235,235,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,2,1,12,4
236,236,STEM,No,At home in californa,Yes,Equally motivated,2,1,0,2,0,8,2
237,237,STEM,Yes,In dorms,Yes,Less motivated than before?,2,2,0,3,0,3,0
238,238,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,0,0,4,1
239,239,Non-STEM,No,At home in californa,No,Equally motivated,2,2,1,1,2,6,4
240,240,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,NA,0,0,0,0
241,241,STEM,Yes,Outside US,Yes,Equally motivated,2,1,0,1,0,6,4
242,242,Non-STEM,No,At home in californa,No,Equally motivated,2,2,1,1,0,4,2
243,243,STEM,No,At home in californa,No,Equally motivated,2,2,0,0,0,4,1
244,244,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,1,0,1,0,2,0
245,245,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,1,0,3,0
246,246,Non-STEM,No,At home in californa,Yes,Equally motivated,1,1,0,1,0,3,1
247,247,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,1,2,5,6
248,248,STEM,No,In US but outside CA,No,More motivated,2,2,1,2,1,8,2
249,249,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,0,5,1
250,250,STEM,Yes,Outside US,No,Equally motivated,2,2,1,1,1,2,1
251,251,Non-STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,0,1,1,2,2
252,252,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,0,1,3,2
253,253,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,0,2,2,5,9
254,254,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,1,2,0,6,2
255,255,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,0,8,2,14,5
256,256,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,4,2,10,4
257,257,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,6,3,20,12
258,258,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,4,1,12,15
259,259,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,0,1,1,3
260,260,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,3,13,8
261,261,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,15,4,37,14
262,262,STEM,No,In my apartment,No,Less motivated than before?,2,2,0,2,0,5,2
263,263,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,1,0,6,0
264,264,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,0,3,1,7,8
265,265,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,3,1,9,1
266,266,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,0,4,2
267,267,Non-STEM,Yes,In US but outside CA,No,Less motivated than before?,2,2,1,0,0,1,0
268,268,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,0,0,4,4
269,269,,,,,,NA,NA,NA,0,0,0,0
270,270,STEM,No,At home in californa,No,Equally motivated,2,2,1,4,1,10,3
271,271,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,0,1,0,3,5
272,272,STEM,No,In my apartment,No,More motivated,2,1,1,3,0,7,2
273,273,STEM,No,At home in californa,No,Equally motivated,2,1,1,0,1,0,3
274,274,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,0,2,0,8,3
275,275,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,1,3,4
276,276,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,2,2,6,3
277,277,STEM,No,At home in californa,No,Less motivated than before?,2,1,0,2,2,7,9
278,278,STEM,No,At home in californa,No,Equally motivated,2,2,1,4,1,10,4
279,279,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,0,2,0,7,3
280,280,STEM,No,At home in californa,No,Less motivated than before?,1,1,0,1,0,8,3
281,281,Non-STEM,Yes,In US but outside CA,No,Less motivated than before?,1,2,0,0,1,6,6
282,282,Non-STEM,Yes,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,1,4
283,283,STEM,No,At home in californa,No,Equally motivated,2,2,0,3,1,8,6
284,284,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,0,1,0,7,7
285,285,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,2,8,6
286,286,Non-STEM,No,In my apartment,Yes,Less motivated than before?,2,2,0,4,1,5,2
287,287,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,0,1,0,1,1
288,288,STEM,Yes,In my apartment,No,More motivated,1,2,1,0,0,1,2
289,289,Non-STEM,No,At home in californa,No,Equally motivated,2,2,0,1,0,3,5
290,290,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,1,1,0,1,7,6
291,291,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,1,2,2,8,7
292,292,Non-STEM,No,In US but outside CA,No,Equally motivated,2,1,0,1,0,5,0
293,293,STEM,No,At home in californa,No,More motivated,2,1,1,3,0,6,2
294,294,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,2,1
295,295,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,0,2,0,5,3
296,296,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,4,1,12,7
297,297,Non-STEM,No,At home in californa,Yes,Equally motivated,2,1,0,0,0,2,0
298,298,STEM,No,In US but outside CA,No,Less motivated than before?,2,1,NA,0,0,0,0
299,299,STEM,No,In US but outside CA,No,Equally motivated,2,2,NA,0,0,0,0
300,300,STEM,No,At home in californa,No,More motivated,2,1,NA,0,0,0,0
301,301,STEM,No,In US but outside CA,No,Less motivated than before?,2,1,0,0,0,0,1
302,302,STEM,No,At home in californa,No,Equally motivated,2,1,NA,0,0,0,0
303,303,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,1,3,4
304,304,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,0,0,0,1
305,305,STEM,No,At home in californa,No,More motivated,1,2,0,0,0,3,1
306,306,STEM,No,In my apartment,No,Equally motivated,2,2,1,2,0,12,5
307,307,STEM,No,At home in californa,No,Less motivated than before?,2,2,1,1,3,5,6
308,308,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,NA,0,0,0,0
309,309,STEM,Yes,At home in californa,Yes,Less motivated than before?,1,2,1,0,1,4,3
310,310,STEM,No,At home in californa,No,Less motivated than before?,1,1,1,2,1,6,2
311,311,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,6,1,12,8
312,312,STEM,No,At home in californa,Yes,Equally motivated,2,1,1,1,0,8,7
313,313,STEM,No,In US but outside CA,Yes,Equally motivated,2,1,1,2,4,10,4
314,314,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,19,13,35,18
315,315,Non-STEM,No,At home in californa,No,Equally motivated,2,1,0,1,1,3,1
316,316,Non-STEM,No,At home in californa,No,Less motivated than before?,1,1,1,1,2,11,5
317,317,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,3,1,18,9
318,318,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,1,1,6,3
319,319,STEM,No,At home in californa,Yes,Equally motivated,2,1,NA,0,0,0,0
320,320,Non-STEM,No,In US but outside CA,No,Equally motivated,2,1,1,2,0,5,4
321,321,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,1,4
322,322,Non-STEM,No,At home in californa,Yes,Equally motivated,1,1,1,0,0,12,7
323,323,STEM,No,In my apartment,No,More motivated,1,2,1,0,0,6,1
324,324,STEM,No,In US but outside CA,No,More motivated,1,2,1,9,2,29,12
325,325,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,1,4,4,16,10
326,326,STEM,No,At home in californa,,Less motivated than before?,2,1,NA,1,1,2,3
327,327,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,NA,0,0,0,0
328,328,Non-STEM,No,In US but outside CA,No,Less motivated than before?,1,1,1,0,1,2,3
329,329,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,7,2,20,8
330,330,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,1,1,1,2
331,331,STEM,No,At home in californa,No,More motivated,2,1,1,3,2,7,4
332,332,STEM,Yes,Outside US,No,Equally motivated,2,1,1,2,0,7,5
333,333,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,2,0,3,0
334,334,STEM,No,At home in californa,Yes,Equally motivated,1,1,1,2,0,3,0
335,335,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,1,6,1,15,4
336,336,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,4,1,20,5
337,337,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,1,3,0,11,3
338,338,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,0,1,0,3,1
339,339,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,1,1,1,4,4
340,340,STEM,No,In my apartment,Yes,Less motivated than before?,2,2,1,2,1,8,3
341,341,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,4,5,10,14
342,342,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,NA,0,0,2,0
343,343,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,1,3,1,4,7
344,344,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,2,1,6,2
345,345,Non-STEM,No,At home in californa,Yes,More motivated,2,1,1,4,2,16,3
346,346,STEM,No,In US but outside CA,No,Equally motivated,2,2,1,3,1,13,6
347,347,STEM,No,In US but outside CA,No,Equally motivated,2,2,1,3,1,13,6
348,348,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,1,0,1,2,2
349,349,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,1,4,0,8,5
350,350,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,19,13,35,18
351,351,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,8,2,20,6
352,352,STEM,No,At home in californa,No,Less motivated than before?,2,2,0,1,1,6,3
353,353,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,12,9
354,354,STEM,Yes,At home in californa,Yes,Less motivated than before?,2,2,0,8,1,20,8
355,355,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,NA,0,0,0,0
356,356,STEM,No,At home in californa,No,More motivated,2,2,1,3,0,7,3
357,357,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,2,1,5,1,9,8
358,358,Non-STEM,No,At home in californa,No,Equally motivated,2,2,1,3,2,9,5
359,359,STEM,Yes,At home in californa,No,Equally motivated,2,1,1,2,0,6,5
360,360,Non-STEM,No,In US but outside CA,No,Equally motivated,2,2,,2,2,8,7
361,361,STEM,No,In US but outside CA,Yes,Equally motivated,2,1,1,4,3,10,8
362,362,Non-STEM,No,At home in californa,Yes,More motivated,2,2,0,1,1,8,2
363,363,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,3,0,5,7
364,364,STEM,No,In my apartment,No,Less motivated than before?,2,2,NA,0,0,0,0
365,365,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,3,5,10
366,366,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,6,3,24,11
367,367,Non-STEM,Yes,In my apartment,No,More motivated,2,1,0,2,1,6,4
368,368,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,1,0,0,0,0
369,369,Non-STEM,No,At home in californa,Yes,Less motivated than before?,1,2,NA,0,0,0,0
370,370,STEM,No,At home in californa,No,Less motivated than before?,2,2,NA,0,0,4,2
371,371,STEM,No,At home in californa,No,Less motivated than before?,2,1,1,1,2,5,7
372,372,STEM,No,At home in californa,Yes,Less motivated than before?,1,1,0,2,2,8,10
373,373,STEM,No,At home in californa,No,Equally motivated,2,1,0,5,2,11,9
374,374,STEM,No,In dorms,Yes,Less motivated than before?,2,1,0,0,0,0,0
375,375,STEM,Yes,In my apartment,Yes,Less motivated than before?,2,1,NA,2,1,4,8
376,376,Non-STEM,Yes,In my apartment,No,More motivated,1,2,0,5,2,9,5
377,377,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,0,5,2,9,4
378,378,STEM,No,In US but outside CA,No,Less motivated than before?,2,2,0,0,0,0,0
